Label,Text,Tweet,News headline
COMMENT,Ironic @voxdotcom attempts to discredit science when it suits their pro-abortion agenda vs their abdication on scientific doubt on climate https://t.co/b69zExIqOz,Ironic @voxdotcom attempts to discredit science when it suits their pro-abortion agenda vs their abdication on scientific doubt on climate https://t.co/b69zExIqOz,The Senate is voting on a 20-week abortion ban. Opponents say it's “basically relying on junk science.”
SUBJ-ARTICLE,#reproductiverights #abortionrights https://t.co/ZcgSotKl4B,#reproductiverights #abortionrights https://t.co/ZcgSotKl4B,The Senate is voting on a 20-week abortion ban. Opponents say it's “basically relying on junk science.”
COMMENT,"i feel like this issue boils down to at what point do we recognize this ""organism"" as a human life with rights #sgsx15 https://t.co/qjV1RxMm7J","i feel like this issue boils down to at what point do we recognize this ""organism"" as a human life with rights #sgsx15 https://t.co/qjV1RxMm7J",The Senate is voting on a 20-week abortion ban. Opponents say it's “basically relying on junk science.”
COMMENT,I stg they just pick a random number from a hat and make claims about it as if they know a SINGLE thing about the subject https://t.co/0uGeEsQWIf,I stg they just pick a random number from a hat and make claims about it as if they know a SINGLE thing about the subject https://t.co/0uGeEsQWIf,The Senate is voting on a 20-week abortion ban. Opponents say it's “basically relying on junk science.”
COMMENT,"Maybe you can't regulate evil, but it sure looks like you can elect it to office. https://t.co/tXxN6vEAby","Maybe you can't regulate evil, but it sure looks like you can elect it to office. https://t.co/tXxN6vEAby",The Senate is voting on a 20-week abortion ban. Opponents say it's “basically relying on junk science.”
DIRECT,Lets do it to you https://t.co/km02WIfxgs,Lets do it to you https://t.co/km02WIfxgs,The Senate is voting on a 20-week abortion ban. Opponents say it's “basically relying on junk science.”
COMMENT,As if liberals ever believed in science...the same people who believe there are 30+ different genders &amp; in global warming... https://t.co/2TykXH59LY,As if liberals ever believed in science...the same people who believe there are 30+ different genders &amp; in global warming... https://t.co/2TykXH59LY,The Senate is voting on a 20-week abortion ban. Opponents say it's “basically relying on junk science.”
DIRECT,Thank you for voting nay @RepStephenLynch #NoAbortionBan #HR36 https://t.co/PhpbCHjH5d,Thank you for voting nay @RepStephenLynch #NoAbortionBan #HR36 https://t.co/PhpbCHjH5d,The Senate is voting on a 20-week abortion ban. Opponents say it's “basically relying on junk science.”
DIRECT,"It's a person, lady.","It's a person, lady. Why do you people wanna continue killing kids but control all the guns. Go #HB36 https://t.co/Wq3EH5evRC",The Senate is voting on a 20-week abortion ban. Opponents say it's “basically relying on junk science.”
RHET,Why do you people wanna continue killing kids but control all the guns.,"It's a person, lady. Why do you people wanna continue killing kids but control all the guns. Go #HB36 https://t.co/Wq3EH5evRC",The Senate is voting on a 20-week abortion ban. Opponents say it's “basically relying on junk science.”
COMMENT,Go #HB36 https://t.co/Wq3EH5evRC,"It's a person, lady. Why do you people wanna continue killing kids but control all the guns. Go #HB36 https://t.co/Wq3EH5evRC",The Senate is voting on a 20-week abortion ban. Opponents say it's “basically relying on junk science.”
COMMENT,Junk science If it were real science they might have a valid argument. https://t.co/yP4tlFDhYc,Junk science If it were real science they might have a valid argument. https://t.co/yP4tlFDhYc,The Senate is voting on a 20-week abortion ban. Opponents say it's “basically relying on junk science.”
RHET,So if you shoot someone in the head &amp; they don't feel it because they die instantly is that the same thing??,So if you shoot someone in the head &amp; they don't feel it because they die instantly is that the same thing?? Just bc they don't feel it? https://t.co/G2H4hsIIRQ,The Senate is voting on a 20-week abortion ban. Opponents say it's “basically relying on junk science.”
RHET,Just bc they don't feel it? https://t.co/G2H4hsIIRQ,So if you shoot someone in the head &amp; they don't feel it because they die instantly is that the same thing?? Just bc they don't feel it? https://t.co/G2H4hsIIRQ,The Senate is voting on a 20-week abortion ban. Opponents say it's “basically relying on junk science.”
COMMENT,"Again, trust women.","Again, trust women. Women know what is going on with them. Women have bodily autonomy. TRUST WOMEN. https://t.co/Z9Zp475e1c",The Senate is voting on a 20-week abortion ban. Opponents say it's “basically relying on junk science.”
COMMENT,Women know what is going on with them.,"Again, trust women. Women know what is going on with them. Women have bodily autonomy. TRUST WOMEN. https://t.co/Z9Zp475e1c",The Senate is voting on a 20-week abortion ban. Opponents say it's “basically relying on junk science.”
