external_user_id,q1_approval_trump,q3_congress,q4_state_gov,q5_local_gov,q6_repub_congress,q7_dems_congress,q8_follow_news,q34_political_views,q9_change_political_view,q25_time_spent_news,q27_news_trust_exist,q15_description_before_sophistic,q16_next_inline_potus,q17_branches_us_gov,q19_num_senators_state,q21_johnroberts_position,q22_num_seats_by_party,q23_num_women_justices,q24_sanctuary_cities,q30_education_enrolled,q31_emp_status,q32_self_emp_both,q33_marital_status,q35_religion,q36_today_politcal_aff,q26_trust_media,demo_ethnicity,demo_marital_status,demo_age,demo_income,demo_employment_status,demo_government_job,demo_teacher,demo_religious_preference,demo_residence_own_rent,demo_registered_voter,demo_political_affiliation,demo_race_2015_new,demo_education_new,demo_gender,demo_division,q28_trusted_source,demo_age_group,demo_job_position,demo_job_area,demo_state_color
047641_S02_01,1.0,3.0,3.0,3.0,3.0,5.0,2.0,Very conservative,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,Christian,Republican,Not very much,No,Married,64.0,"$50,000 to $74,999",Employed Full Time,No,No,Christianity,Own,Yes,Lean Republican,White,Some postgraduate or professional school or degree,Male,Mountain Division,townhall,55_to_64,Professional,Finance/Insurance/Real Estate,Red
4205985366_78419_01,1.0,4.0,2.0,2.0,3.0,4.0,1.0,Conservative,2.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,,5.0,Christian,Republican,Not very much,No,Widowed,84.0,"$15,000 to $24,999",Homemaker,,,Christianity,Own,Yes,Lean Republican,White,High school grad,Female,South Atlantic Division,na,above_65,na,na,Red
4183007038_78419_01,2.0,4.0,2.0,3.0,4.0,4.0,1.0,Moderate,3.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,,2.0,Christian,Republican,Not very much,No,Married,60.0,"$75,000 to $99,999",Retired,,,Christianity,Own,Yes,Republican,White,Some college,Male,East South Division,na,55_to_64,na,na,Red
4205981971_78419_01,2.0,5.0,5.0,5.0,5.0,5.0,2.0,Conservative,2.0,4.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,3.0,,5.0,Christian,Independent,Not very much,No,Widowed,67.0,"$35,000 to $49,999",Retired,,,Christianity,,Yes,Lean Democrat,White,High school grad,Male,East North Division,na,above_65,na,na,Red
4182934758_78419_01,2.0,5.0,3.0,1.0,5.0,2.0,1.0,Moderate,3.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,,2.0,Christian,Democrat,A fair amount,No,Married,64.0,"$35,000 to $49,999",Retired,,,Christianity,Own,Yes,Democrat,White,Some college,Male,West South Division,houston_chronicle,55_to_64,na,na,Red
4133445310_78419_01,1.0,5.0,1.0,4.0,4.0,5.0,1.0,Moderate,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,,2.0,Christian,Independent,None at all,No,Married,68.0,"$100,000 to $149,999",Retired,,,,,Yes,Independent,White,Technical or vocational school,Male,East South Division,fox,above_65,na,na,Red
4182959775_78419_01,2.0,5.0,4.0,3.0,5.0,3.0,2.0,Moderate,3.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,No Religion/Atheist/Agnostic,Independent,A fair amount,No,Married,53.0,"$100,000 to $149,999",Employed Full Time,Refused,,Nonreligious/Secular,Own,Yes,Lean Democrat,White,Some college,Male,West North Division,na,45_to_54,Other,Manufacturing or Construction,Red
4194572397_78419_01,2.0,4.0,3.0,3.0,5.0,3.0,1.0,Moderate,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,,2.0,Christian,Independent,A great deal,No,Married,68.0,"$35,000 to $49,999",Retired,,,Agnostic,Own,Yes,Lean Democrat,White,High school grad,Male,South Atlantic Division,msnbc,above_65,na,na,Red
4182930223_78419_01,1.0,4.0,2.0,2.0,5.0,5.0,3.0,Conservative,2.0,2.0,1.0,1.0,0.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,2.0,2.0,Christian,Republican,Not very much,No,Married,59.0,"$200,000 or more",Employed Full Time,Refused,,Christianity,Own,Yes,Republican,White,Four year bachelor’s degree,Male,East North Division,fox,55_to_64,Professional,Other,Red
4209513191_78419_01,2.0,4.0,5.0,2.0,4.0,4.0,2.0,Moderate,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,0.0,3.0,,2.0,Christian,Independent,A fair amount,Yes,Married,73.0,"$200,000 or more",Retired,,,Christianity,Own,Yes,Independent,Hispanic,Some college,Male,East North Division,local_papers,above_65,na,na,Blue
